FID,OBJECTID,SHAPE,NAME,ADRESSE,SE_ANNO_CAD_DATA
AMTOGD.859133,859133,POINT (16.356679866242633 48.21077819312561),Magistratsabteilung 6 - Stadthauptkasse,"1., Friedrich-Schmidt-Platz 1, Rathaus, Stiege 7, Hochparterre",
AMTOGD.859134,859134,POINT (16.355949463206695 48.20894813891376),Magistratsabteilung 2 - Personalservice,"1., Rathausstra?e 4",
AMTOGD.859135,859135,POINT (16.356413434210367 48.21194420538316),Magistratsabteilung 18 - Wiener Planungswerkstatt,"1., Friedrich-Schmidt-Platz 9, (Indoor)",
AMTOGD.859136,859136,POINT (16.41300112981271 48.183919228750064),Magistratsabteilung 67 - Parkraum?berwachung,"3., Modecenterstra?e 22",
AMTOGD.860417,860417,POINT (16.357822072082346 48.21193738225842),Magistratsabteilung 5 - Finanzwesen,"1., Ebendorferstra?e 2",
AMTOGD.860418,860418,POINT (16.34704310154915 48.202580877308264),Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsf?rderung,"7., Hermanngasse 24-26",
AMTOGD.860419,860419,POINT (16.415065064101857 48.185887972157595),Wien Kanal (WKN),"3., Modecenterstra?e 14",
AMTOGD.860420,860420,POINT (16.350923768948388 48.19706307364231),Magistratsabteilung 20 - Energieplanung,"6., Amerlingstra?e 11",
AMTOGD.860421,860421,POINT (16.419778806199563 48.20748808194004),"Magistratsabteilung 23 - Wirtschaft, Arbeit und Statistik","2., Meiereistra?e 7",
AMTOGD.860422,860422,POINT (16.413910272454242 48.1756978581374),Magistratisches Bezirksamt f?r den 11. Bezirk,"11., Enkplatz 2",
AMTOGD.860423,860423,POINT (16.30545720893156 48.21781843285444),Magistratsabteilung 29 - Br?ckenbau und Grundbau,"16., Wilhelminenstra?e 93",
AMTOGD.860425,860425,POINT (16.34244163295001 48.22703068657625),Magistratisches Bezirksamt f?r den 18. Bezirk,"18., Martinstra?e 100",
AMTOGD.860426,860426,POINT (16.356895591034117 48.21207128241757),Magistratsabteilung 18 - Stadtentwicklung und Stadtplanung,"1., Rathausstra?e 14-16",
AMTOGD.859125,859125,POINT (16.38002766083616 48.2022518273863),Magistratsabteilung 42 - Wiener Stadtg?rten,"3., Johannesgasse 35",
AMTOGD.860427,860427,POINT (16.332085846154303 48.1811323749016),Magistratsabteilung 19 - Architektur und Stadtgestaltung,"12., Niederhofstra?e 21-23",
AMTOGD.860428,860428,POINT (16.305556137948948 48.21778329587209),Magistratsabteilung 45 - Wiener Gew?sser,"16., Wilhelminenstra?e 93",
AMTOGD.860429,860429,POINT (16.350971387899424 48.197019504437876),Bezirksvorstehung des 6. Bezirks,"6., Amerlingstra?e 11",
AMTOGD.860430,860430,POINT (16.37109446846576 48.2117976764978),Magistratsabteilung 63 - Gewerbewesen u. rechtl. Angelegenheiten d. Ern?hrungswesens,"1., Wipplingerstra?e 6-8",
AMTOGD.860431,860431,POINT (16.374864095139376 48.178474420009714),Bezirksvorstehung des 10. Bezirks,"10., Keplerplatz 5",
AMTOGD.860433,860433,POINT (16.40409731750954 48.18959722187907),Magistratsabteilung 38 - Lebensmitteluntersuchungsanstalt d. Stadt Wien,"3., Henneberggasse 3",
AMTOGD.860435,860435,POINT (16.37098914128037 48.21183871741526),Magistratisches Bezirksamt f?r den 1. u. 8. Bezirk,"1., Wipplingerstra?e 6-8",
AMTOGD.860498,860498,POINT (16.35475499490921 48.206882291806146),Magistratsabteilung 62 - Wahlen und verschiedene Rechtsangelegenheiten,"8., Lerchenfelder Stra?e 4",
AMTOGD.860499,860499,POINT (16.35426605123759 48.19057144508558),Bezirksvorstehung des 5. Bezirks,"5., Sch?nbrunner Stra?e 54",
AMTOGD.860500,860500,POINT (16.35795994593391 48.20584196125372),Magistratsabteilung 58 - Wasserrecht,"1., Volksgartenstra?e 3",
AMTOGD.860501,860501,POINT (16.39709124575712 48.2578429452782),Bezirksvorstehung des 21. Bezirks,"21., Am Spitz 1",
AMTOGD.860502,860502,POINT (16.318108030138816 48.2220605681307),Magistratsabteilung 28 - Stra?enverwaltung u. Stra?enbau,"17., Lienfeldergasse 96",
AMTOGD.860503,860503,POINT (16.332245446222313 48.21825451675541),Magistratisches Bezirksamt f?r den 17. Bezirk,"17., Elterleinplatz 14",
AMTOGD.860504,860504,POINT (16.355093326007974 48.21120852036111),Magistratsabteilung 7 - Kultur,"8., Friedrich-Schmidt-Platz 5",
AMTOGD.860505,860505,POINT (16.35355053779951 48.23890628435672),Bezirksvorstehung des 19. Bezirks,"19., Gatterburggasse 14",
AMTOGD.860506,860506,POINT (16.3275998795343 48.20930050885859),Bezirksvorstehung des 16. Bezirks,"16., Richard-Wagner-Platz 19",
AMTOGD.860510,860510,POINT (16.35327361518136 48.18059902461981),"Magistratsabteilung 48 - Abfallwirtschaft, Strassenreinigung und Fuhrpark","5., Einsiedlergasse 2",
AMTOGD.860511,860511,POINT (16.3698608229998 48.19432644543477),Bezirksvorstehung des 4. Bezirks,"4., Favoritenstra?e 18",
AMTOGD.860512,860512,POINT (16.37990784561242 48.216491837898474),Bezirksvorstehung des 2. Bezirks,"2., Karmelitergasse 9",
AMTOGD.860513,860513,POINT (16.35693251491127 48.212209320890175),Magistratsabteilung 21 - Stadtteilplanung u. Fl?chennutzung,"1., Rathausstra?e 14-16",
AMTOGD.860514,860514,POINT (16.332150129800446 48.18105836290412),Magistratsabteilung 46 - Verkehrsorganisation und technische Verkehrsangelegenheiten,"12., Niederhofstra?e 21-23",
AMTOGD.860515,860515,POINT (16.412152109239734 48.193062469681664),Magistratsabteilung 10 - Wiener Kinderg?rten,"3., Thomas-Klestil-Platz 11",
AMTOGD.860516,860516,POINT (16.456467682825156 48.22944735287478),Magistratsabteilung 14 - Informations- und Kommunikationstechnologie,"22., Stadlauer Stra?e 56",
AMTOGD.859025,859025,POINT (16.40666244754924 48.18414426019803),"Magistratsabteilung 39 - Pr?f-, ?berwachungs- und Zertifizierungsstelle der Stadt Wien","11., Rinnb?ckstra?e 13-15",
AMTOGD.859026,859026,POINT (16.371276137185788 48.23301406499179),Magistratisches Bezirksamt f?r den 20. Bezirk,"20., Brigittaplatz 10",
AMTOGD.859027,859027,POINT (16.346767573381488 48.2126449079792),Bezirksvorstehung des 8. Bezirks,"8., Schlesingerplatz 4",
AMTOGD.859028,859028,POINT (16.35377512463152 48.238886806810775),Magistratisches Bezirksamt f?r den 19. Bezirk,"19., Gatterburggasse 14",
AMTOGD.859029,859029,POINT (16.37952921464093 48.216534546351134),Magistratisches Bezirksamt f?r den 2. Bezirk,"2., Karmelitergasse 9",
AMTOGD.859030,859030,POINT (16.38869079118242 48.20125667932199),Magistratisches Bezirksamt f?r den 3. Bezirk,"3., Karl-Borrom?us-Platz 3",
AMTOGD.859031,859031,POINT (16.300462066401067 48.18821952232483),Bezirksvorstehung des 13. u. 14. Bezirks,"13., Hietzinger Kai 1",
AMTOGD.859032,859032,POINT (16.37399259736021 48.178806111232156),Magistratisches Bezirksamt f?r den 10. Bezirk,"10., Laxenburger Stra?e 43-45",
AMTOGD.859033,859033,POINT (16.331802261224208 48.218320349158574),Bezirksvorstehung des 17. Bezirks,"17., Elterleinplatz 14",
AMTOGD.859034,859034,POINT (16.386188491991433 48.21137129448222),Magistratsabteilung 70 - Rettungs- u. Krankenbef?rderungsdienst d. Stadt Wien,"3., Radetzkystra?e 1",
AMTOGD.859035,859035,POINT (16.382975211561515 48.20071878949797),Magistratsabteilung 59 - Marktamt,"3., Am Modenapark 1-2",
AMTOGD.859036,859036,POINT (16.354982184485515 48.210254201174706),Magistratsabteilung 57 - Frauenf?rderung und Koordinierung von Frauenangelegenheiten,"8., Friedrich-Schmidt-Platz 3",
AMTOGD.859037,859037,POINT (16.334106211171026 48.19416025972892),Magistratisches Bezirksamt f?r den 15. Bezirk,"15., Gasgasse 8-10",
AMTOGD.859039,859039,POINT (16.419688539332373 48.207378979442325),Magistratsabteilung 51 - Sportamt,"2., Meiereistra?e 7",
AMTOGD.859040,859040,POINT (16.43792597139567 48.24127535007339),Magistratisches Bezirksamt f?r den 22. Bezirk,"22., Schr?dingerplatz 1",
AMTOGD.859041,859041,POINT (16.398933888382622 48.178137229615),Magistratsabteilung 33 - Wien leuchtet,"11., Senngasse 2",
AMTOGD.859042,859042,POINT (16.350961752420936 48.22180196245985),Magistratisches Bezirksamt f?r den 9. Bezirk,"9., Wilhelm-Exner-Gasse 5",
AMTOGD.859043,859043,POINT (16.421707677661367 48.18471397996212),Magistratsabteilung 8 - Wiener Stadt- und Landesarchiv,"11., Guglgasse 14",
AMTOGD.859044,859044,POINT (16.347040888205996 48.20267362424499),Bezirksvorstehung des 7. Bezirks,"7., Hermanngasse 24-26",
AMTOGD.859045,859045,POINT (16.3699914407469 48.25195444566032),Magistratsabteilung 34 - Bau- und Geb?udemanagement,"19., Muthgasse 62",
AMTOGD.859046,859046,POINT (16.437731361815537 48.24079238458527),Bezirksvorstehung des 22. Bezirks,"22., Schr?dingerplatz 1",
AMTOGD.859047,859047,POINT (16.35477237912968 48.221061034536454),Bezirksvorstehung des 9. Bezirks,"9., W?hringer Stra?e 43",
AMTOGD.859048,859048,POINT (16.40587373841523 48.18940711947826),Magistratsabteilung 60 - Veterin?ramt und Tierschutz,"3., Karl-Farkas-Gasse 16",
AMTOGD.859049,859049,POINT (16.38203095602117 48.23500897377302),"Magistratsabteilung 36 - Technische Gewerbeangelegenheiten, ...","20., Dresdner Stra?e 73-75",
AMTOGD.859050,859050,POINT (16.347036463921256 48.202807542194826),Magistratisches Bezirksamt f?r den 6. u. 7. Bezirk,"7., Hermanngasse 24-26",
AMTOGD.859051,859051,POINT (16.329376375102097 48.183132565997944),Magistratisches Bezirksamt f?r den 12. Bezirk,"12., Sch?nbrunner Stra?e 259",
AMTOGD.859052,859052,POINT (16.378801967936365 48.1743153642049),Magistratsabteilung 44 - B?der,"10., Reumannplatz 23",
